day,bucket,flow_type,net_qty,price,usd_value
2025-02-10,Top 501-1000,INFLOW,70185.30040781788,1.223696619,85885.51481254605
2025-02-11,Top 1-100,INFLOW,79229.76455449002,1.253645993,99326.07686006984
2025-02-11,Top 101-200,INFLOW,716060.999139747,1.253645993,897687.0023151202
2025-02-11,Top 201-300,INFLOW,9713.50945046,1.253645993,12177.302200536811
2025-02-11,Top 301-500,OUTFLOW,-82368.28433472414,1.253645993,103260.66960651158
2025-02-11,Top 501-1000,OUTFLOW,-74680.06569690637,1.253645993,93622.36511790342
2025-02-12,Top 1-100,INFLOW,394702.31457994133,1.24442236,491176.385807033
2025-02-12,Top 101-200,OUTFLOW,-346627.0832796368,1.24442236,431350.4930147622
2025-02-12,Top 201-300,INFLOW,236219.27442223005,1.24442236,293956.54695399915
2025-02-12,Top 301-500,INFLOW,228374.9114003324,1.24442236,284194.84620959254
2025-02-12,Top 501-1000,INFLOW,39871.23301774476,1.24442236,49616.65388805185
2025-02-13,Top 1-100,OUTFLOW,-92692.00029959998,1.2810903,118746.82247141463
2025-02-13,Top 101-200,INFLOW,520778.51641468937,1.2810903,667164.3058272493
2025-02-13,Top 201-300,INFLOW,34449.52074393496,1.2810903,44132.94686470387
2025-02-13,Top 301-500,INFLOW,296566.69972782774,1.2810903,379928.72232433275
2025-02-13,Top 501-1000,INFLOW,78926.72184032631,1.2810903,101112.25776044019
2025-02-14,Top 1-100,OUTFLOW,-433117.9393316,1.225678758,530863.4579474748
2025-02-14,Top 101-200,INFLOW,1760829.9366489472,1.225678758,2158211.8498011003
2025-02-14,Top 201-300,INFLOW,60844.51474280998,1.225678758,74575.82926108003
2025-02-14,Top 301-500,OUTFLOW,-72048.39191456736,1.225678758,88308.18351774415
2025-02-14,Top 501-1000,INFLOW,64010.21076449927,1.225678758,78455.9556291497
2025-02-15,Top 1-100,OUTFLOW,-190597.456961668,1.292305743,246310.1882327589
2025-02-15,Top 101-200,OUTFLOW,-970831.807009901,1.292305743,1254611.5196859627
2025-02-15,Top 201-300,INFLOW,91101.79203598316,1.292305743,117731.3690456927
2025-02-15,Top 301-500,INFLOW,122081.86803312774,1.292305743,157767.0991753791
2025-02-15,Top 501-1000,OUTFLOW,-10527.61430135023,1.292305743,13604.896421723835
2025-02-16,Top 1-100,OUTFLOW,-6758.341417510001,1.233602996,8337.110220631223
2025-02-16,Top 101-200,OUTFLOW,-233565.67214546003,1.233602996,288127.3129213932
2025-02-16,Top 201-300,INFLOW,112455.86245811998,1.233602996,138725.88884610072
2025-02-16,Top 301-500,OUTFLOW,-100166.34223555001,1.233602996,123565.49988013582
2025-02-16,Top 501-1000,INFLOW,8589.599192061443,1.233602996,10596.155297766176
2025-02-17,Top 1-100,OUTFLOW,-480702.82686757,1.219992215,586453.7065069282
2025-02-17,Top 101-200,OUTFLOW,-493521.93566278997,1.219992215,602092.9194403347
2025-02-17,Top 201-300,OUTFLOW,-11846.86946786,1.219992215,14453.088522910393
2025-02-17,Top 301-500,INFLOW,265820.4624224445,1.219992215,324298.8947430823
2025-02-17,Top 501-1000,OUTFLOW,-14978.237822936557,1.219992215,18273.333538401148
2025-02-18,Top 1-100,INFLOW,5345.5534412900015,1.202887049,6430.097004265125
2025-02-18,Top 101-200,OUTFLOW,-364603.3578750219,1.202887049,438576.657209776
2025-02-18,Top 201-300,OUTFLOW,-11683.042153730014,1.202887049,14053.380099642902
2025-02-18,Top 301-500,INFLOW,75005.09494794978,1.202887049,90222.65732190413
2025-02-18,Top 501-1000,INFLOW,4649.921321661939,1.202887049,5593.3301366961105
2025-02-19,Top 1-100,OUTFLOW,-34536.63919403011,1.135013781,39199.56143464891
2025-02-19,Top 101-200,INFLOW,114969.30301187001,1.135013781,130491.74331043728
2025-02-19,Top 201-300,INFLOW,127397.10506198,1.135013781,144597.46990485216
2025-02-19,Top 301-500,OUTFLOW,-56120.00312252411,1.135013781,63696.9769338279
2025-02-19,Top 501-1000,INFLOW,23683.79081943377,1.135013781,26881.42896637861
2025-02-20,Top 1-100,OUTFLOW,-37432.92528979003,1.129450199,42278.624917705485
2025-02-20,Top 101-200,INFLOW,1059154.3075140498,1.129450199,1196262.0433934508
2025-02-20,Top 201-300,OUTFLOW,-66686.03364576983,1.129450199,75318.55397173544
2025-02-20,Top 301-500,OUTFLOW,-125666.3420550118,1.129450199,141933.87504163515
2025-02-20,Top 501-1000,INFLOW,45198.83666807155,1.129450199,51049.83506932191
2025-02-21,Top 1-100,OUTFLOW,-486465.27907405025,1.205883481,586620.4441154522
2025-02-21,Top 101-200,INFLOW,725461.2648095165,1.205883481,874821.7553391627
2025-02-21,Top 201-300,INFLOW,125867.66433636995,1.205883481,151781.73721528138
2025-02-21,Top 301-500,INFLOW,170503.25069260466,1.205883481,205607.0534670138
2025-02-21,Top 501-1000,INFLOW,168634.15798586325,1.205883481,203353.14544749673
2025-02-22,Top 1-100,INFLOW,368516.36678941007,1.178624859,434342.5508463607
2025-02-22,Top 101-200,INFLOW,869227.0015939402,1.178624859,1024492.5521926505
2025-02-22,Top 201-300,INFLOW,460593.82254026,1.178624859,542867.3291477849
2025-02-22,Top 301-500,OUTFLOW,-98025.07492030296,1.178624859,115534.7901064065
2025-02-22,Top 501-1000,INFLOW,107849.16928785067,1.178624859,127113.71194516012
2025-02-23,Top 1-100,OUTFLOW,-2666.8579467200034,1.257939765,3354.7466587853432
2025-02-23,Top 101-200,OUTFLOW,-748780.5963852501,1.257939765,941920.8874534214
2025-02-23,Top 201-300,OUTFLOW,-64264.28023954,1.257939765,80840.59358242109
2025-02-23,Top 301-500,INFLOW,66579.15530215502,1.257939765,83752.56697469139
2025-02-23,Top 501-1000,OUTFLOW,-7554.713713097077,1.257939765,9503.374792895615
2025-02-24,Top 1-100,OUTFLOW,-1601730.81251607,1.240523927,1986985.3975393358
2025-02-24,Top 101-200,INFLOW,668850.0090859353,1.240523927,829724.4398452701
2025-02-24,Top 201-300,OUTFLOW,-27178.42470355,1.240523927,33715.486142921654
2025-02-24,Top 301-500,INFLOW,249275.14973866424,1.240523927,309231.7876573208
2025-02-24,Top 501-1000,INFLOW,135466.28928527085,1.240523927,168049.1731602822
2025-02-25,Top 1-100,INFLOW,1477693.4611041998,1.052679424,1555537.5014837354
2025-02-25,Top 101-200,INFLOW,1235609.4600087104,1.052679424,1300700.6546509203
2025-02-25,Top 201-300,INFLOW,287090.5909145,1.052679424,302214.3578796955
2025-02-25,Top 301-500,INFLOW,14693.435390512255,1.052679424,15467.477103465655
2025-02-25,Top 501-1000,OUTFLOW,-28888.303004645102,1.052679424,30410.122167267273
2025-02-26,Top 1-100,OUTFLOW,-2426118.91890648,1.088792015,2641538.906345808
2025-02-26,Top 101-200,INFLOW,1972285.18517638,1.088792015,2147408.3609228386
2025-02-26,Top 201-300,OUTFLOW,-184210.55724429002,1.088792015,200566.98380628336
2025-02-26,Top 301-500,OUTFLOW,-37035.67838239172,1.088792015,40324.15089285622
2025-02-26,Top 501-1000,INFLOW,54934.20670873673,1.088792015,59811.92561483198
2025-02-27,Top 1-100,INFLOW,6490003.51556293,1.105507228,7174745.79620023
2025-02-27,Top 101-200,INFLOW,1485138.7773110638,1.105507228,1641831.6529004634
2025-02-27,Top 201-300,INFLOW,487456.19239511015,1.105507228,538886.3440261529
2025-02-27,Top 301-500,INFLOW,398352.1401199017,1.105507228,440381.1701918201
2025-02-27,Top 501-1000,INFLOW,92973.92093182041,1.105507228,102783.34160562795
2025-02-28,Top 1-100,OUTFLOW,-11992137.62397707,1.150308182,13794654.028530864
2025-02-28,Top 101-200,INFLOW,1505218.9589404431,1.150308182,1731465.6841707139
2025-02-28,Top 201-300,OUTFLOW,-239698.67002303322,1.150308182,275727.3413420133
2025-02-28,Top 301-500,OUTFLOW,-23536.075896787894,1.150308182,27073.740676248104
2025-02-28,Top 501-1000,INFLOW,44227.87269252989,1.150308182,50875.68383067151
2025-03-01,Top 1-100,INFLOW,359631.1195371703,1.11064767,399423.4649734497
2025-03-01,Top 101-200,OUTFLOW,-868419.23540709,1.11064767,964507.8003880661
2025-03-01,Top 201-300,INFLOW,87053.74217494999,1.11064767,96686.03591138894
2025-03-01,Top 301-500,INFLOW,96306.50601144637,1.11064767,106962.59650745391
2025-03-01,Top 501-1000,INFLOW,107920.19105658485,1.11064767,119861.30874295082
2025-03-02,Top 1-100,INFLOW,7370556.814822363,1.105123703,8145377.040368375
2025-03-02,Top 101-200,OUTFLOW,-750879.05198371,1.105123703,829814.2384333672
2025-03-02,Top 201-300,INFLOW,114107.59093737003,1.105123703,126103.0034371156
2025-03-02,Top 301-500,OUTFLOW,-50057.53943355633,1.105123703,55319.773341880296
2025-03-02,Top 501-1000,INFLOW,8812.104813615617,1.105123703,9738.465902847016
2025-03-03,Top 1-100,OUTFLOW,-544022.5720318418,1.21373662,660300.1177816342
2025-03-03,Top 101-200,OUTFLOW,-1341116.3341891202,1.21373662,1627762.0064854932
2025-03-03,Top 201-300,OUTFLOW,-39345.27486765,1.21373662,47754.800930832454
2025-03-03,Top 301-500,INFLOW,55997.65310957955,1.21373662,67966.40221315357
2025-03-03,Top 501-1000,OUTFLOW,-138940.94385412292,1.21373662,168637.7115731129
2025-03-04,Top 1-100,OUTFLOW,-1963382.6247151399,1.049713115,2060988.4909266056
2025-03-04,Top 101-200,INFLOW,801899.0844384504,1.049713115,841763.9858415339
2025-03-04,Top 201-300,INFLOW,63153.487196587645,1.049713115,66293.04376824264
2025-03-04,Top 301-500,INFLOW,43331.865346898965,1.049713115,45486.02735205387
2025-03-04,Top 501-1000,INFLOW,42898.52434929475,1.049713115,45031.14362360154
2025-03-05,Top 1-100,INFLOW,6763772.7324557835,0.943334959,6380503.273256495
2025-03-05,Top 101-200,OUTFLOW,-1351254.71782492,0.943334959,1274685.8138379275
2025-03-05,Top 201-300,INFLOW,84659.83779311998,0.943334959,79862.58461351949
2025-03-05,Top 301-500,INFLOW,75227.1006985135,0.943334959,70964.3539531211
2025-03-05,Top 501-1000,INFLOW,23794.63071946596,0.943334959,22446.30699416756
2025-03-06,Top 1-100,OUTFLOW,-269612.8074062802,0.976742298,263342.2330762415
2025-03-06,Top 101-200,INFLOW,4170.878481899737,0.976742298,4073.873433089501
2025-03-06,Top 201-300,OUTFLOW,-227113.33446645003,0.976742298,221831.200213203
2025-03-06,Top 301-500,INFLOW,49379.88001510925,0.976742298,48231.417480922086
2025-03-06,Top 501-1000,INFLOW,62387.77211959298,0.976742298,60936.77590719158
2025-03-07,Top 1-100,INFLOW,2141443.6582672102,0.96130053,2058570.9236574082
2025-03-07,Top 101-200,INFLOW,462620.568305767,0.96130053,444717.3975012351
2025-03-07,Top 201-300,INFLOW,18095.763743840012,0.96130053,17395.46727770819
2025-03-07,Top 301-500,OUTFLOW,-5835.397388520003,0.96130053,5609.570602344895
2025-03-07,Top 501-1000,INFLOW,74381.3531561739,0.96130053,71502.83421114714
2025-03-08,Top 1-100,OUTFLOW,-483507.48458660993,0.934530434,451852.4594129729
2025-03-08,Top 101-200,OUTFLOW,-160174.30631334,0.934530434,149687.76399465458
2025-03-08,Top 201-300,OUTFLOW,-17370.70935145818,0.934530434,16233.456549106071
2025-03-08,Top 301-500,OUTFLOW,-39356.92934667751,0.934530434,36780.248263257876
2025-03-08,Top 501-1000,OUTFLOW,-14399.976825319696,0.934530434,13457.216592155959
2025-03-09,Top 1-100,OUTFLOW,-631450.75927324,0.888194469,560851.0718323422
2025-03-09,Top 101-200,INFLOW,242647.47145392984,0.888194469,215518.14206221586
2025-03-09,Top 201-300,OUTFLOW,-216746.21539649155,0.888194469,192512.78969184644
2025-03-09,Top 301-500,INFLOW,68241.58677587245,0.888194469,60611.79993011345
2025-03-09,Top 501-1000,OUTFLOW,-30480.764298977447,0.888194469,27072.84626124443
2025-03-10,Top 1-100,OUTFLOW,-581448.9446538002,0.796092366,462887.0660576469
2025-03-10,Top 101-200,INFLOW,263502.04799173365,0.796092366,209771.9688315848
2025-03-10,Top 201-300,OUTFLOW,-66142.65550360797,0.796092366,52655.66311339019
2025-03-10,Top 301-500,OUTFLOW,-91642.78995662538,0.796092366,72956.12548341093
2025-03-10,Top 501-1000,OUTFLOW,-42170.85618600997,0.796092366,33571.896677366414
2025-03-11,Top 1-100,OUTFLOW,-502551.56242953,0.758436254,381153.3244508999
2025-03-11,Top 101-200,INFLOW,416936.72851783,0.758436254,316219.93053207797
2025-03-11,Top 201-300,INFLOW,82427.9791095522,0.758436254,62516.36770063902
2025-03-11,Top 301-500,OUTFLOW,-177641.39106161997,0.758436254,134729.67119212414
2025-03-11,Top 501-1000,INFLOW,23143.518940458,0.758436254,17552.883809579016
2025-03-12,Top 1-100,INFLOW,929797.6542030104,0.796456948,740543.801924089
2025-03-12,Top 101-200,INFLOW,680096.9456290376,0.796456948,541667.9376598252
2025-03-12,Top 201-300,INFLOW,594202.8140292725,0.796456948,473256.95975476597
2025-03-12,Top 301-500,INFLOW,165646.69273353834,0.796456948,131930.4593408477
2025-03-12,Top 501-1000,INFLOW,120373.64757524697,0.796456948,95872.4279674088
2025-03-13,Top 1-100,INFLOW,39928.38329339994,0.841313522,33592.28877633626
2025-03-13,Top 101-200,OUTFLOW,-374497.9919471836,0.841313522,315070.22458701266
2025-03-13,Top 201-300,INFLOW,84905.59119837,0.841313522,71432.22196859287
2025-03-13,Top 301-500,INFLOW,64452.077490322205,0.841313522,54224.404313599895
2025-03-13,Top 501-1000,INFLOW,35295.47631550691,0.841313522,29694.5614896667
2025-03-14,Top 1-100,OUTFLOW,-3491966.6816799603,0.83833611,2927441.764169186
2025-03-14,Top 101-200,OUTFLOW,-898865.2257349032,0.83833611,753551.1767568707
2025-03-14,Top 201-300,INFLOW,12592.39016661,0.83833611,10556.655387878078
2025-03-14,Top 301-500,OUTFLOW,-70420.2789487859,0.83833611,59035.86271904006
2025-03-14,Top 501-1000,INFLOW,38742.668673825305,0.83833611,32479.378147033563
2025-03-15,Top 1-100,INFLOW,46428189.29191824,0.872400214,40503962.273901984
2025-03-15,Top 101-200,OUTFLOW,-150765.10585379,0.872400214,131527.51061057905
2025-03-15,Top 201-300,INFLOW,771.8558702700093,0.872400214,673.3672264007123
2025-03-15,Top 301-500,INFLOW,3393.92064107,0.872400214,2960.857093568485
2025-03-15,Top 501-1000,OUTFLOW,-3407.69924051172,0.872400214,2972.8775466700617
2025-03-16,Top 1-100,OUTFLOW,-601245.96412153,0.878926933,528451.2712239644
2025-03-16,Top 101-200,INFLOW,451242.38907777995,0.878926933,396609.08907172584
2025-03-16,Top 201-300,OUTFLOW,-11377.86260447817,0.878926933,10000.309883049391
2025-03-16,Top 301-500,OUTFLOW,-11539.177024580014,0.878926933,10142.093471558177
2025-03-16,Top 501-1000,OUTFLOW,-17648.933044312755,0.878926933,15512.122591360163
2025-03-17,Top 1-100,INFLOW,244444.4778024294,0.833198867,203670.86194939085
2025-03-17,Top 101-200,INFLOW,885984.8582010801,0.833198867,738201.5800322957
2025-03-17,Top 201-300,INFLOW,146091.60104429018,0.833198867,121723.3564683186
2025-03-17,Top 301-500,OUTFLOW,-107062.05069697581,0.833198867,89203.97933941681
